n_veh,seed,jit_full_hz,jit_scan_hz,jit_mean_cand,nogrid_full_hz,nogrid_scan_hz,nogrid_mean_cand,nogrid_sei,nogrid_muting_pct,grid_full_hz,grid_scan_hz,grid_mean_cand,grid_sei,grid_muting_pct,grid_grid_filter_pct
5,0,4324.045923264793,22131.18383255902,4820.0,14451.60958830484,104968.50936422874,30.28,159.18097754293262,82.13333333333334,15402.730049506306,150446.32372156554,26.004444444444445,185.35293112288497,82.13333333333334,17.055555555555554
5,1,7298.5124025777695,32800.98551483226,4820.0,25693.290612509085,165101.26104229203,36.973333333333336,130.36422646952758,77.91111111111113,23303.504846037667,220458.55562056243,28.133333333333333,171.32701421800948,77.91111111111113,24.703703703703706
5,2,10230.01623816922,44463.32759241692,4820.0,40893.47692914553,492072.1684323156,5.542222222222223,869.6872493985564,95.37777777777778,41723.8437644299,1093294.4847815812,3.577777777777778,1347.2049689440994,95.37777777777778,13.0
10,0,5714.953364817723,24332.215839538065,9640.0,21939.554075332904,132692.4777851313,43.39111111111111,222.1653180374885,84.53333333333333,17833.01167508193,147570.01367373715,35.568888888888885,271.0233662376609,84.53333333333333,28.21111111111111
10,1,6535.283269411363,27521.420843204014,9640.0,19044.878179641004,117410.702965953,71.83777777777777,134.19123333436448,78.8,17786.56125506031,148908.00853058844,56.904444444444444,169.4068028273519,78.8,38.1925925925926
10,2,5902.165701253789,25055.818793392762,9640.0,22072.67305152409,129686.73459747838,25.448888888888888,378.7984631505414,88.46666666666668,18985.018704971488,182348.65203298305,14.564444444444444,661.8858712236802,88.46666666666668,37.75925925925927
20,0,2903.531145426829,12300.257488305335,19280.0,11298.867599138179,71624.11685353568,115.00222222222222,167.64893432010976,84.36666666666666,11255.45890101196,89080.68732099704,100.61111111111111,191.62893429044726,84.36666666666666,46.260493827160495
20,1,2897.0597413912938,12193.965344334205,19280.0,11222.280969033834,73816.47580710049,112.12666666666667,171.94839169986327,83.15555555555555,11673.454566286373,97711.38152929395,88.33555555555556,218.25866015949285,83.15555555555555,50.80952380952382
20,2,3654.976697964303,15327.862978770168,19280.0,15818.057188427594,100448.67071444614,68.34666666666666,282.09129925868126,86.5,15620.606720211335,124460.67028371908,52.76,365.4283548142532,86.5,46.64100529100529
50,0,1490.7657002884646,6247.266821724068,48200.0,7453.342079480938,56974.28564291729,246.85111111111112,195.25940062835897,84.55999999999999,9532.86827285383,88894.15710805374,195.61111111111111,246.4072706617438,84.55999999999999,65.16279874809285
50,1,1309.5076658160135,5489.799950905478,48200.0,5583.521415819709,43245.944619890615,270.03333333333336,178.49648191581284,83.02222222222223,7137.588922933531,68514.00716805841,209.34666666666666,230.24011209477104,83.02222222222223,67.59084893530198
50,2,1125.778757417033,4684.5136232803925,48200.0,4058.1268053982576,31350.801566498365,240.73111111111112,200.22339355112666,82.61777777777777,5981.6324020095935,58204.20623073022,182.0222222222222,264.80283237699916,82.61777777777777,65.6239164984005
100,0,468.9671415479833,1937.9302471965987,96400.0,2498.362184383222,21139.16618300739,417.0622222222222,231.14057055168962,85.13999999999999,3197.851044239423,36912.77917401799,303.56888888888886,317.5555978507533,85.13999999999999,75.51351482814901
100,1,651.5062607609485,2719.4604591735565,96400.0,3207.8036598158214,27554.450660242495,485.84,198.4192326691915,83.78222222222222,5102.555700188948,58573.157712724,362.6688888888889,265.80719480885534,83.78222222222222,74.61139049683064
100,2,560.6773081908929,2321.7142711622587,96400.0,2124.8686120062785,18740.39554419123,549.2755555555556,175.50389604084572,82.64444444444445,4652.124471520737,53888.98874050002,409.06888888888886,235.65712919855935,82.64444444444445,73.10760702974213
200,0,288.23126754706453,1168.0845048426715,192800.0,1566.464024165543,14343.543817469128,908.54,212.20859841063685,84.30666666666666,3127.8150335456835,43601.693632802235,660.44,291.9265943916177,84.30666666666666,78.94413107938321
200,1,329.0414146133415,1326.40302491634,192800.0,1555.888016281347,14320.173614019513,997.8866666666667,193.2083135693432,83.34,2705.970995900171,37530.9630963162,716.3111111111111,269.15679096606067,83.34,77.56041125706989
200,2,326.59535663035734,1314.6328273362667,192800.0,1573.5146024151315,14300.059744747547,1161.8577777777778,165.9411364175382,82.26444444444442,2722.471277938846,36890.99121657302,855.4222222222222,225.385774406401,82.26444444444442,76.21584168797611
